dataset,model,hardware,target_context_tokens,actual_context_tokens,sample_size,accuracy,mean_energy_j,mean_ttft_ms,mean_latency_ms
gsm8k,gemma3:4b,unknown,0,0.0,47,0.8085106382978723,7231.026808510638,7928.104042553192,72224.86744680851
gsm8k,gemma3:4b,unknown,512,402.62,50,0.74,9388.636676,29652.9784,92549.6678
gsm8k,gemma3:4b,unknown,1024,901.56,50,0.82,11413.882596,61462.9688,112578.29899999998
gsm8k,gemma3:4b,unknown,2048,1943.28,50,0.76,18199.796754,127782.3452,178590.9866
gsm8k,gemma3:4b,unknown,4096,3954.52,50,0.76,17046.638946,113368.71139999999,166693.3072
gsm8k,qwen3.5:0.8b,unknown,0,0.0,2,0.0,3110.66775,2476.945,58691.03
gsm8k,qwen3.5:0.8b,unknown,512,304.0,2,0.0,5640.2797,9989.835,66742.475
gsm8k,qwen3.5:0.8b,unknown,1024,935.5,2,0.0,7648.3187,22867.495000000003,79409.67
gsm8k,qwen3.5:0.8b,windows_10core_pc,0,0.0,11,0.0,4516.266954545455,2297.6209090909088,47012.117272727264
gsm8k,qwen3.5:0.8b,windows_10core_pc,512,358.90909090909093,11,0.0,5672.3174,11717.838181818182,57436.46727272726
gsm8k,qwen3.5:0.8b,windows_10core_pc,1024,953.9090909090909,11,0.0,6904.688581818183,23650.576363636363,69240.15636363636
gsm8k,qwen3.5:0.8b,windows_10core_pc,2048,1966.7272727272727,11,0.0,8413.789109090909,36921.24272727273,84050.34545454544
gsm8k,qwen3.5:0.8b,windows_10core_pc,4096,3961.090909090909,11,0.0,9058.682327272727,43474.52545454545,90121.28000000001
gsm8k,qwen3.5:0.8b,windows_10core_pc,8192,8126.2,10,0.0,8958.45794,44011.74399999999,88498.274
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,0,0.0,40,0.0,33.359159999999996,373.832,22096.251
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,512,378.8,40,0.0,45.121385,2534.6595,27989.589
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,1024,931.45,40,0.0,98.83670500000001,6725.004999999999,60613.600500000015
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,2048,1943.45,40,0.0,88.915545,10022.4515,49544.0305
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,4096,3933.7,40,0.0,92.872695,14902.068,41470.728500000005
gsm8k,qwen3.5:0.8b-mlx,macbook_air_m1,8192,8073.45,40,0.0,152.873985,30544.402000000002,58059.27
gsm8k,qwen3.5:0.8b-mlx,unknown,0,0.0,5,0.4,nan,22004.808,42802.438
gsm8k,qwen3.5:0.8b-mlx,unknown,512,357.6,5,0.0,nan,33393.732,55060.116
gsm8k,qwen3.5:0.8b-mlx,unknown,1024,936.6,5,0.0,nan,37888.228,61220.464
gsm8k,qwen3.5:0.8b-mlx,unknown,2048,1925.8,5,0.0,nan,31900.871999999996,50737.57
gsm8k,qwen3.5:0.8b-mlx,unknown,4096,3975.8,5,0.2,nan,28036.627999999997,47410.542
