prompt_strategy,model,hardware,accuracy,mean_energy_j,energy_per_correct_j,accuracy_per_joule
ctx_0,gemma3:4b,unknown,0.8085106382978723,7231.026808510638,8943.638421052632,0.00011181131804770612
ctx_1024,gemma3:4b,unknown,0.82,11413.882596,13919.369019512194,7.184233700523338e-05
ctx_2048,gemma3:4b,unknown,0.76,18199.796754,23947.100992105265,4.17587080928783e-05
ctx_4096,gemma3:4b,unknown,0.76,17046.638946,22429.788086842105,4.458356878487969e-05
ctx_512,gemma3:4b,unknown,0.74,9388.636676,12687.34685945946,7.881868534668601e-05
few_shot_3,gemma3:4b,unknown,0.17647058823529413,803.7641137254903,4554.663311111111,0.00021955519688151212
long_cot,gemma3:4b,unknown,0.8627450980392157,3863.7429058823527,4478.429277272727,0.0002232925738215475
short_cot,gemma3:4b,unknown,0.7647058823529411,1378.890688235294,1803.164746153846,0.0005545804963928016
zero_shot_cot,gemma3:4b,unknown,0.803921568627451,2842.196321568628,3535.414936585366,0.0002828522303426813
zero_shot_direct,gemma3:4b,unknown,0.0784313725490196,314.4448254901961,4009.171525,0.000249428091006907
ctx_0,qwen3.5:0.8b,unknown,0.0,3110.66775,,0.0
ctx_1024,qwen3.5:0.8b,unknown,0.0,7648.3187,,0.0
ctx_512,qwen3.5:0.8b,unknown,0.0,5640.2797,,0.0
few_shot_3,qwen3.5:0.8b,unknown,0.0,3189.1123173076926,,0.0
long_cot,qwen3.5:0.8b,unknown,0.0,3073.1539461538464,,0.0
rag_top_1,qwen3.5:0.8b,unknown,0.0,1182.2078,,0.0
short_cot,qwen3.5:0.8b,unknown,0.0,4808.592669230769,,0.0
zero_shot_cot,qwen3.5:0.8b,unknown,0.0,5374.1850403846165,,0.0
zero_shot_direct,qwen3.5:0.8b,unknown,0.0,2315.322569230769,,0.0
ctx_0,qwen3.5:0.8b,windows_10core_pc,0.0,4516.266954545455,,0.0
ctx_1024,qwen3.5:0.8b,windows_10core_pc,0.0,6904.688581818183,,0.0
ctx_2048,qwen3.5:0.8b,windows_10core_pc,0.0,8413.789109090909,,0.0
ctx_4096,qwen3.5:0.8b,windows_10core_pc,0.0,9058.682327272727,,0.0
ctx_512,qwen3.5:0.8b,windows_10core_pc,0.0,5672.3174,,0.0
ctx_8192,qwen3.5:0.8b,windows_10core_pc,0.0,8958.45794,,0.0
few_shot_3,qwen3.5:0.8b,windows_10core_pc,0.0,2415.29719127907,,0.0
long_cot,qwen3.5:0.8b,windows_10core_pc,0.0,9387.48855,,0.0
rag_top_1,qwen3.5:0.8b,windows_10core_pc,0.0,2835.0671,,0.0
rag_top_3,qwen3.5:0.8b,windows_10core_pc,0.0,3709.8963200000007,,0.0
rag_top_5,qwen3.5:0.8b,windows_10core_pc,0.0,4125.59992,,0.0
short_cot,qwen3.5:0.8b,windows_10core_pc,0.0,5011.372765697674,,0.0
zero_shot_cot,qwen3.5:0.8b,windows_10core_pc,0.0,4756.651323837209,,0.0
zero_shot_direct,qwen3.5:0.8b,windows_10core_pc,0.0,1974.3278315508019,,0.0
ctx_0,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,33.359159999999996,,0.0
ctx_1024,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,98.83670500000001,,0.0
ctx_2048,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,88.915545,,0.0
ctx_4096,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,92.872695,,0.0
ctx_512,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,45.121385,,0.0
ctx_8192,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,152.873985,,0.0
few_shot_3,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,11.639144444444446,,0.0
long_cot,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,77.286405,,0.0
rag_top_1,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,28.51332,,0.0
rag_top_3,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,31.254319999999996,,0.0
rag_top_5,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,35.768695,,0.0
short_cot,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,38.375385,,0.0
zero_shot_cot,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,47.42901500000001,,0.0
zero_shot_direct,qwen3.5:0.8b-mlx,macbook_air_m1,0.0,27.8531975,,0.0
few_shot_3,qwen3.5:0.8b-mlx,unknown,0.0136986301369863,nan,nan,0.0
long_cot,qwen3.5:0.8b-mlx,unknown,0.014084507042253521,182.5982528169014,12964.47595,7.713385437689057e-05
short_cot,qwen3.5:0.8b-mlx,unknown,0.013986013986013986,177.84956573426572,12716.24395,7.863957344102384e-05
zero_shot_cot,qwen3.5:0.8b-mlx,unknown,0.013793103448275862,nan,nan,0.0
zero_shot_direct,qwen3.5:0.8b-mlx,unknown,0.029239766081871343,nan,nan,0.0
