Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Context 0 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 0 tokens,Energy (J),33.36,32.82,3.02,N/A (n=1)
Context 0 tokens,Total Latency (ms),22096.25,21738.03,1483.68,N/A (n=1)
Context 0 tokens,Generation Latency (ms),21722.42,21414.22,1478.65,N/A (n=1)
Context 0 tokens,TTFT (ms),373.83,359.48,68.37,N/A (n=1)
Context 0 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 0 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 512 tokens,Energy (J),45.12,45.75,7.28,N/A (n=1)
Context 512 tokens,Total Latency (ms),27989.59,27857.16,3924.94,N/A (n=1)
Context 512 tokens,Generation Latency (ms),25454.93,25539.25,3664.01,N/A (n=1)
Context 512 tokens,TTFT (ms),2534.66,2524.30,762.88,N/A (n=1)
Context 512 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 1024 tokens,Energy (J),98.84,81.39,41.52,N/A (n=1)
Context 1024 tokens,Total Latency (ms),60613.60,52452.43,26954.21,N/A (n=1)
Context 1024 tokens,Generation Latency (ms),53888.59,47398.33,24527.32,N/A (n=1)
Context 1024 tokens,TTFT (ms),6725.01,5699.19,3878.28,N/A (n=1)
Context 1024 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 2048 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 2048 tokens,Energy (J),88.92,84.95,24.76,N/A (n=1)
Context 2048 tokens,Total Latency (ms),49544.03,44760.24,11486.96,N/A (n=1)
Context 2048 tokens,Generation Latency (ms),39521.58,35354.42,11138.27,N/A (n=1)
Context 2048 tokens,TTFT (ms),10022.45,9881.12,1972.02,N/A (n=1)
Context 2048 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 2048 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 4096 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 4096 tokens,Energy (J),92.87,86.04,21.84,N/A (n=1)
Context 4096 tokens,Total Latency (ms),41470.73,38866.89,8437.62,N/A (n=1)
Context 4096 tokens,Generation Latency (ms),26568.66,24317.49,5420.53,N/A (n=1)
Context 4096 tokens,TTFT (ms),14902.07,13859.26,4070.78,N/A (n=1)
Context 4096 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 4096 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 8192 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 8192 tokens,Energy (J),152.87,143.88,40.50,N/A (n=1)
Context 8192 tokens,Total Latency (ms),58059.27,56617.75,11594.94,N/A (n=1)
Context 8192 tokens,Generation Latency (ms),27514.87,25095.46,6442.52,N/A (n=1)
Context 8192 tokens,TTFT (ms),30544.40,30005.56,7104.09,N/A (n=1)
Context 8192 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 8192 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
