Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Context 0 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 0 tokens,Energy (J),3110.67,3110.67,495.49,N/A (n=1)
Context 0 tokens,Total Latency (ms),58691.03,58691.03,6165.79,N/A (n=1)
Context 0 tokens,Generation Latency (ms),56214.08,56214.08,5523.12,N/A (n=1)
Context 0 tokens,TTFT (ms),2476.95,2476.95,642.67,N/A (n=1)
Context 0 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 0 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 512 tokens,Energy (J),5640.28,5640.28,1114.66,N/A (n=1)
Context 512 tokens,Total Latency (ms),66742.48,66742.48,8682.32,N/A (n=1)
Context 512 tokens,Generation Latency (ms),56752.63,56752.63,5391.29,N/A (n=1)
Context 512 tokens,TTFT (ms),9989.83,9989.83,3291.02,N/A (n=1)
Context 512 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 1024 tokens,Energy (J),7648.32,7648.32,712.15,N/A (n=1)
Context 1024 tokens,Total Latency (ms),79409.67,79409.67,9158.32,N/A (n=1)
Context 1024 tokens,Generation Latency (ms),56542.18,56542.18,4307.86,N/A (n=1)
Context 1024 tokens,TTFT (ms),22867.50,22867.50,4850.46,N/A (n=1)
Context 1024 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
