Hardware,Model,Prompt Strategy,Accuracy (%),Mean Energy (J),Energy / Correct (J),Accuracy / Joule
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_0,0.0,33.36,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_1024,0.0,98.84,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_2048,0.0,88.92,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_4096,0.0,92.87,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_512,0.0,45.12,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,ctx_8192,0.0,152.87,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,few_shot_3,1.1,nan,nan,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,long_cot,1.1,159.45,14510.20,0.000069
MacBook Air M1,qwen3.5:0.8b-mlx,rag_top_1,0.0,28.51,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,rag_top_3,0.0,31.25,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,rag_top_5,0.0,35.77,N/A,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,short_cot,1.1,147.36,13483.75,0.000074
MacBook Air M1,qwen3.5:0.8b-mlx,zero_shot_cot,1.1,nan,nan,0.000000
MacBook Air M1,qwen3.5:0.8b-mlx,zero_shot_direct,2.0,nan,nan,0.000000
Windows 10-Core PC,qwen3.5:0.8b,ctx_0,63.3,6595.98,10414.70,0.000096
Windows 10-Core PC,qwen3.5:0.8b,ctx_1024,65.1,10507.02,16144.94,0.000062
Windows 10-Core PC,gemma3:4b,ctx_2048,62.3,16435.11,26382.67,0.000038
Windows 10-Core PC,gemma3:4b,ctx_4096,62.3,15606.19,25052.04,0.000040
Windows 10-Core PC,qwen3.5:0.8b,ctx_512,58.7,8620.76,14678.59,0.000068
Windows 10-Core PC,qwen3.5:0.8b,ctx_8192,0.0,8958.46,N/A,0.000000
Windows 10-Core PC,qwen3.5:0.8b,few_shot_3,3.3,2262.75,69139.66,0.000014
Windows 10-Core PC,qwen3.5:0.8b,long_cot,26.7,5690.18,21338.16,0.000047
Windows 10-Core PC,qwen3.5:0.8b,rag_top_1,0.0,2684.81,N/A,0.000000
Windows 10-Core PC,qwen3.5:0.8b,rag_top_3,0.0,3709.90,N/A,0.000000
Windows 10-Core PC,qwen3.5:0.8b,rag_top_5,0.0,4125.60,N/A,0.000000
Windows 10-Core PC,qwen3.5:0.8b,short_cot,14.2,4299.37,30316.06,0.000033
Windows 10-Core PC,qwen3.5:0.8b,zero_shot_cot,14.9,4518.38,30306.19,0.000033
Windows 10-Core PC,qwen3.5:0.8b,zero_shot_direct,1.4,1743.56,126408.19,0.000008
