Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),16.02,12.96,7.66,N/A (n=1)
Zero-shot Direct,Total Latency (ms),7486.77,7752.59,1270.23,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),7035.60,7188.94,1112.69,N/A (n=1)
Zero-shot Direct,TTFT (ms),451.18,350.66,264.33,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),15.62,12.33,7.03,N/A (n=1)
Few-shot (3),Total Latency (ms),7684.93,7713.33,1541.58,N/A (n=1)
Few-shot (3),Generation Latency (ms),7081.23,7253.73,1345.04,N/A (n=1)
Few-shot (3),TTFT (ms),603.70,504.59,360.99,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),38.76,35.10,10.89,N/A (n=1)
Zero-shot CoT,Total Latency (ms),14255.10,14619.08,2597.40,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),13598.49,13912.02,2185.12,N/A (n=1)
Zero-shot CoT,TTFT (ms),656.61,429.20,633.22,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),40.80,35.64,12.83,N/A (n=1)
Short CoT,Total Latency (ms),14769.17,14180.21,3373.21,N/A (n=1)
Short CoT,Generation Latency (ms),14229.61,13605.88,3252.65,N/A (n=1)
Short CoT,TTFT (ms),539.56,473.43,243.17,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),82.45,72.30,21.84,N/A (n=1)
Long CoT,Total Latency (ms),28367.45,28068.44,4975.21,N/A (n=1)
Long CoT,Generation Latency (ms),27872.18,27493.59,4835.94,N/A (n=1)
Long CoT,TTFT (ms),495.27,420.64,279.25,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
