Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),2387.39,2895.72,899.22,N/A (n=1)
Zero-shot Direct,Total Latency (ms),27121.99,29188.85,5107.83,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),24168.08,26066.02,4654.49,N/A (n=1)
Zero-shot Direct,TTFT (ms),2953.91,3026.15,622.14,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),3283.49,3267.81,118.56,N/A (n=1)
Few-shot (3),Total Latency (ms),32649.58,32424.29,1161.89,N/A (n=1)
Few-shot (3),Generation Latency (ms),26021.81,25872.67,1032.13,N/A (n=1)
Few-shot (3),TTFT (ms),6627.77,6537.86,676.47,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),5503.87,5463.89,164.97,N/A (n=1)
Zero-shot CoT,Total Latency (ms),54069.65,53646.04,1593.21,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),50882.31,50566.29,1600.32,N/A (n=1)
Zero-shot CoT,TTFT (ms),3187.35,3154.22,548.85,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),4936.65,5210.49,1102.95,N/A (n=1)
Short CoT,Total Latency (ms),49889.12,51303.06,7140.22,N/A (n=1)
Short CoT,Generation Latency (ms),46749.54,48150.96,6840.39,N/A (n=1)
Short CoT,TTFT (ms),3139.58,3128.78,501.15,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),3066.57,3029.63,128.56,N/A (n=1)
Long CoT,Total Latency (ms),60484.29,60109.31,1202.47,N/A (n=1)
Long CoT,Generation Latency (ms),58279.90,57997.50,1152.26,N/A (n=1)
Long CoT,TTFT (ms),2204.39,2159.43,290.37,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
