Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),1069.49,906.72,261.48,N/A (n=1)
Zero-shot Direct,Total Latency (ms),25538.97,25654.27,676.24,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),22549.58,22692.24,1233.97,N/A (n=1)
Zero-shot Direct,TTFT (ms),2989.39,2760.81,727.22,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),2109.55,2106.23,443.92,N/A (n=1)
Few-shot (3),Total Latency (ms),27791.63,28210.66,1108.14,N/A (n=1)
Few-shot (3),Generation Latency (ms),20984.34,20917.65,450.76,N/A (n=1)
Few-shot (3),TTFT (ms),6807.28,6507.32,1125.38,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),4097.79,4190.98,464.58,N/A (n=1)
Zero-shot CoT,Total Latency (ms),45899.00,45100.84,1422.06,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),42739.46,42341.44,1449.76,N/A (n=1)
Zero-shot CoT,TTFT (ms),3159.54,2847.63,814.53,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),4885.05,5193.70,732.87,N/A (n=1)
Short CoT,Total Latency (ms),50693.12,53042.32,5838.90,N/A (n=1)
Short CoT,Generation Latency (ms),47683.25,50391.15,6013.30,N/A (n=1)
Short CoT,TTFT (ms),3009.88,2651.17,594.81,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),9123.96,8986.58,328.20,N/A (n=1)
Long CoT,Total Latency (ms),90819.96,89237.34,2965.35,N/A (n=1)
Long CoT,Generation Latency (ms),87501.59,85993.71,2440.12,N/A (n=1)
Long CoT,TTFT (ms),3318.37,3087.00,723.02,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
